Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
108,-21,Kordhell ,Murder In My Mind,23,82,,9006397,-231964.0,196641187
109,-23,Lil Nas X ,STAR WALKIN' (League of Legends Worlds Anthem),17,22,,9000968,-251907.0,186200411
110,-22,The Weeknd ,Save Your Tears,111,2,(x4),8943982,-268366.0,1236259716
111,-10,Jung Kook ,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],9,14,,8936789,125031.0,122642032
112,-6,Cigarettes After Sex ,Apocalypse,28,89,,8927296,217151.0,216930886
113,-9,INTERWORLD ,METAMORPHOSIS,5,104,,8882671,131546.0,41407867
114,=,Adele ,Easy On Me,66,1,(x7),8880617,310647.0,1160013134
115,-6,Sia ,Unstoppable,51,107,,8853588,213065.0,344338269
116,-39,Rema ,Calm Down,28,73,,8831900,-843380.0,206895320
117,-34,KAROL G ,PROVENZA,39,6,,8757908,-636847.0,646322465
118,-10,Eminem ,Superman,16,108,,8725505,79969.0,125151853
119,-17,Ed Sheeran ,Perfect,305,4,,8708852,-96224.0,2254288668
120,+1,SZA ,Blind,6,24,,8697690,224979.0,67585202
121,-32,Drake ,Jimmy Cooks,31,7,,8663181,-529109.0,397333414
122,-22,J. Cole ,No Role Modelz,161,64,,8656237,-164813.0,725993370
123,-12,Post Malone ,I Like You (A Happier Song),33,10,,8652992,44649.0,414668856
124,-21,Coldplay ,Viva La Vida,25,98,,8605307,-171938.0,169456913
125,-3,Arctic Monkeys ,Do I Wanna Know?,154,38,,8587584,148850.0,575612067
126,-8,Eminem ,The Real Slim Shady,85,51,,8567123,45570.0,568207765
127,-14,Imagine Dragons ,Enemy,50,3,(x4),8559312,-26619.0,687664113
128,RE,Rels B ,cómo dormiste?,16,24,,8546293,,155331041
129,-14,Harry Styles ,Watermelon Sugar,166,4,,8520359,-37179.0,2048258058
130,-35,Coldplay ,Yellow,109,56,,8466265,-501649.0,746942534
131,-35,Taylor Swift ,Midnight Rain,13,4,,8454344,-464948.0,235687931
132,NEW,Miley Cyrus ,Party In The U.S.A.,1,132,,8302203,,8302203
133,-5,Imagine Dragons ,Believer,311,16,,8269672,55237.0,2332134496
134,+6,Bellakath ,Gatita,8,94,,8226386,338509.0,70973896
135,+4,Billie Eilish ,TV,13,27,,8211087,300897.0,99088593
136,+38,TWISTED ,WORTH NOTHING,7,136,,8163524,988558.0,49346747
137,-18,Beach House ,Space Song,16,119,,8151263,-351676.0,103630091
138,-5,The Weeknd ,The Hills,155,3,(x1),8136578,86709.0,944729158
139,NEW,AYLIVA ,Sie weiß,1,139,,8062007,,8062007
140,+33,James Arthur ,Say You Won't Let Go,284,7,,7970116,774504.0,1936030493
141,-15,Beach Weather ,"Sex, Drugs, Etc.",23,58,,7946060,-385059.0,201759491
142,+14,New West ,Those Eyes,3,142,,7900548,288580.0,23108871
143,-9,Joji ,Die For You,11,21,,7889513,-133565.0,125242158
144,-20,Nicky Youre ,Sunroof,37,28,,7884866,-489561.0,390261220
145,+10,Yuridia ,Qué Agonía,5,145,,7854710,217862.0,36896178
146,-19,Ed Sheeran ,Shivers,71,4,,7837627,-398237.0,1084174880
147,+33,Imagine Dragons ,Demons,153,8,,7806722,740833.0,418884403
148,-13,Justin Bieber ,Ghost,70,11,,7738019,-249310.0,858563717
149,-17,Conan Gray ,Heather,130,12,,7722596,-329164.0,1040384524
150,RE,Lady Gaga ,Shallow,181,3,(x2),7722337,,1730413820
151,NEW,Mac DeMarco ,Heart To Heart,1,151,,7720836,,7720836
152,-14,Lizzo ,About Damn Time,36,9,,7647874,-269786.0,533398949
153,-12,The Walters ,I Love You So,67,21,,7591799,-293179.0,637523903
154,+10,Mora ,LA INOCENTE,26,74,,7574630,166252.0,203322489
155,-10,Metro Boomin ,Too Many Nights,7,33,,7551154,-257126.0,67677224
156,-8,Lana Del Rey ,Summertime Sadness,23,94,,7511251,-232082.0,171603879
